dataset,file_name,class_label,split,path
idrid,IDRiD_001.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_001.jpg
idrid,IDRiD_001test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_001test.jpg
idrid,IDRiD_002.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_002.jpg
idrid,IDRiD_003.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_003.jpg
idrid,IDRiD_004.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_004.jpg
idrid,IDRiD_004test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_004test.jpg
idrid,IDRiD_005.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_005.jpg
idrid,IDRiD_005test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_005test.jpg
idrid,IDRiD_006.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_006.jpg
idrid,IDRiD_006test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_006test.jpg
idrid,IDRiD_007.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_007.jpg
idrid,IDRiD_007test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_007test.jpg
idrid,IDRiD_008.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_008.jpg
idrid,IDRiD_008test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_008test.jpg
idrid,IDRiD_009.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_009.jpg
idrid,IDRiD_009test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_009test.jpg
idrid,IDRiD_010.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_010.jpg
idrid,IDRiD_010test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_010test.jpg
idrid,IDRiD_011.jpg,3,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_011.jpg
idrid,IDRiD_011test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_011test.jpg
idrid,IDRiD_012.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_012.jpg
idrid,IDRiD_012test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_012test.jpg
idrid,IDRiD_013.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_013.jpg
idrid,IDRiD_013test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_013test.jpg
idrid,IDRiD_014.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_014.jpg
